date,BTC,ETH,BNB,XRP,DOT,DOGE,SHIB,LTC,UNI,LINK,MATIC,BCH,TRX,MANA,ATOM,ETC,XTZ,XMR,GRT,EOS,SAND,AAVE,LRC,NEO,ZEC
2021-07-01 08:00:00,33486.83112299,2133.2871801,286.61386385,0.66039892,15.32107012,0.24008891,8.29e-06,136.26927531,18.13246907,18.03079731,1.08370418,494.22360315,0.06464328,0.54616419,11.3258848,53.94481449,2.89997246,208.43254439,0.54436029,3.92296311,0.26028475,238.21190733,0.2692677,33.82318067,121.95682048
2021-07-01 08:30:00,33479.49619999,2123.81380895,285.6837469,0.66016072,15.36509325,0.25833914,8.27e-06,136.49899599,18.04241871,17.91828982,1.08305201,491.71457142,0.0647068,0.53869312,11.09940858,52.91459977,2.89719999,208.08233972,0.53653964,3.90976368,0.25822311,237.6392818,0.2692677,33.79154906,121.4132885
2021-07-01 09:00:00,33383.62370604,2113.98529916,284.74306258,0.65758248,15.34521165,0.25439797,8.28e-06,135.75187988,17.94300495,17.80600196,1.08023483,489.50026369,0.06452084,0.53780319,11.16189336,53.05168599,2.89719999,207.57941978,0.54069169,3.91226262,0.2572411,235.98428069,0.25044185,33.66351241,120.19753349
2021-07-01 09:30:00,33271.36357981,2108.83392762,284.91509758,0.65520835,15.26337607,0.2527027,8.2e-06,135.20235817,17.90820143,17.79877527,1.08202615,489.50085714,0.06411204,0.53594468,11.0215426,52.75923398,2.86518158,207.65288271,0.53577232,3.89209227,0.2572411,234.27557455,0.25044185,33.79154906,119.3
2021-07-01 10:00:00,33153.94827457,2107.5499063,285.29289864,0.65507994,15.25541225,0.24848728,8.21e-06,135.43969107,17.82388671,17.78678344,1.07431996,488.05432761,0.06419179,0.52946497,10.94895456,52.71902743,2.86518158,207.0,0.53046868,3.86804393,0.2572411,234.66581126,0.25044185,33.5064365,119.13878024
2021-07-01 10:30:00,33179.69097336,2113.26639972,285.76433843,0.65841635,15.280003,0.24818224,8.24e-06,135.40333723,17.83898236,17.8674947,1.08593473,492.79712184,0.06428356,0.52946497,11.03139569,53.30942795,2.86518158,209.69420493,0.53046868,3.90450782,0.2572411,235.39978983,0.25044185,33.79154906,120.45249237
2021-07-01 11:00:00,33542.26779789,2136.9,288.9335385,0.66266041,15.47890223,0.2527027,8.37e-06,136.60187917,18.36577871,18.07033871,1.09602162,496.89295995,0.06489443,0.54015488,11.20820979,54.37629962,2.97470009,210.60462633,0.54259508,3.947,0.25109028,240.33748644,0.25044185,34.23961663,122.87318632
2021-07-01 11:30:00,33732.76020311,2139.84646251,289.86083718,0.668,15.59107772,0.25465727,8.43e-06,137.1365,18.39208425,18.12329323,1.10763732,494.61738752,0.06507657,0.54157824,11.26778314,54.79745043,2.96328616,211.19138533,0.54648853,3.94795326,0.25109028,241.47234902,0.25044185,34.38548905,122.30715639
2021-07-01 12:00:00,33589.19549277,2119.65736543,289.01874556,0.66293713,15.4888541,0.25178919,8.31e-06,136.155596,18.19162417,18.05144083,1.09752419,492.09569882,0.06474444,0.54157824,11.12724679,54.00148983,2.96328616,209.40175017,0.54648853,3.94795326,0.25109028,238.04070318,0.25264103,34.00742802,121.86035271
2021-07-01 12:30:00,33664.0429399,2128.54697326,289.99981274,0.66414147,15.56495534,0.2527027,8.36e-06,136.80134455,18.30336356,18.15897707,1.1022274,494.39880941,0.06503889,0.54157824,11.29,54.70262174,2.96328616,212.26111054,0.54678853,3.94325864,0.25109028,240.0137881,0.25264103,34.11500223,122.96437029
2021-07-01 13:00:00,33715.52102933,2131.65494874,290.55874087,0.66634936,15.52088482,0.25271327,8.4e-06,137.0170249,18.31541847,18.1502959,1.1042224,496.142,0.06500652,0.54157824,11.29287848,54.69471635,2.96328616,212.46947795,0.54803796,3.94325864,0.25109028,242.52187256,0.25247347,34.11500223,123.58666561
2021-07-01 13:30:00,33422.11635764,2113.11347021,288.38404136,0.66135752,15.31771448,0.24818224,8.31e-06,135.86401785,18.10234206,17.92106871,1.08961578,491.71457142,0.06470641,0.54157824,11.18891994,53.31905337,2.96328616,209.98841423,0.54969452,3.90762921,0.25109028,239.83590665,0.25247347,34.06406155,122.4238746
2021-07-01 14:00:00,33186.35072165,2097.97026141,287.61110411,0.65720289,15.26117887,0.24702702,8.25e-06,135.10213731,17.96771849,17.85148412,1.08170703,488.91624835,0.06435059,0.54157824,11.01061331,52.76923117,2.90717877,207.59662415,0.54969452,3.88120842,0.25109028,236.68042178,0.25247347,34.0,120.48802731
2021-07-01 14:30:00,33194.58809917,2093.32115415,286.4401401,0.65721954,15.25349695,0.24625394,8.28e-06,135.45718586,17.95713888,17.83583912,1.08540863,489.15027378,0.06440295,0.52946497,11.0437801,52.9159427,2.89042106,208.48971196,0.54431792,3.87182414,0.25109028,236.43649859,0.25247347,33.82070111,121.0003249
2021-07-01 15:00:00,33570.37135281,2125.54053903,289.04687984,0.66279304,15.39697295,0.24908275,8.36e-06,136.66257461,18.14657536,18.13820926,1.09659749,496.142,0.06487128,0.54142985,11.10475159,54.0247763,2.94243005,211.5760475,0.54933124,3.90701781,0.24925588,239.51440202,0.25247347,34.17095509,121.75157056
2021-07-01 15:30:00,33441.68316711,2119.71885773,288.62720661,0.66117941,15.37058084,0.24740426,8.33e-06,136.56428638,18.13066628,18.05351789,1.0953259,494.21538104,0.06480894,0.54084266,11.11970887,53.5418784,2.94243005,210.3455801,0.54933124,3.919,0.24925588,237.68720705,0.25247347,34.17095509,121.89300763
2021-07-01 16:00:00,33280.57170682,2095.49473257,287.39424788,0.65907086,15.27484292,0.24696054,8.35e-06,136.10329682,17.8389267,18.02787865,1.09375905,496.142,0.06440433,0.54084266,11.04905562,53.78654735,2.87177059,209.8086322,0.5394336,3.90529744,0.24925588,233.84093545,0.25247347,33.79154906,121.51954497
2021-07-01 16:30:00,33155.26684877,2081.10494321,285.5,0.6535546,15.14822229,0.2454054,8.3e-06,135.14362112,17.70589628,17.89370345,1.09142701,489.50085714,0.06411955,0.53065614,10.94055233,53.0,2.85009966,209.21944847,0.53759673,3.86913978,0.24801396,231.3768544,0.25247347,33.753444,120.29798254
2021-07-01 17:00:00,33204.04113292,2085.33692004,286.26331892,0.65357901,15.22771628,0.24602025,8.34e-06,135.31288431,17.64343242,17.91744388,1.08734373,491.71457142,0.06434326,0.5270067,11.08051714,53.27238185,2.86075797,207.4769694,0.53735153,3.88544762,0.24600204,231.59941918,0.25247347,33.79154906,122.41090253
2021-07-01 17:30:00,33486.15001177,2104.66698223,288.68061949,0.65915939,15.39114638,0.24864864,8.39e-06,136.67563097,17.87546298,18.12934693,1.09614212,496.142,0.06481866,0.5270067,10.98360981,53.98788715,2.86075797,209.53662349,0.53792958,3.91947323,0.24600204,234.18722075,0.25247347,34.16527083,121.8898413
2021-07-01 18:00:00,33513.14999048,2121.59095488,289.15967491,0.66863307,15.42816188,0.24826966,8.43e-06,137.22995605,18.02631844,18.13568131,1.10034515,500.03529343,0.06506672,0.53638993,11.05165826,53.87721298,2.86075797,211.33438485,0.53792958,3.94442975,0.24600204,235.32191769,0.25247347,34.16527083,122.5381147
2021-07-01 18:30:00,33329.35756582,2114.95417904,288.03280154,0.66124021,15.37967608,0.24666667,8.37e-06,136.55254599,17.95271512,17.99777989,1.08734373,496.36024803,0.0648727,0.53638993,11.05165826,53.31905337,2.90481411,209.35397802,0.53865993,3.92138535,0.24754022,233.7667188,0.25286454,34.16527083,122.67294003
